date,open,close,high,low,volume,code
2016-01-04,19.686,17.793,19.783,17.784,699002.0,000651
2016-01-05,17.52,18.357,18.709,17.432,1027367.0,000651
2016-01-06,18.462,18.506,18.577,18.057,567109.0,000651
2016-01-07,18.225,17.239,18.225,17.159,231239.0,000651
2016-01-08,17.802,17.829,18.234,16.825,1036330.0,000651
2016-01-11,17.52,17.071,18.005,16.992,795588.0,000651
2016-01-12,17.3,17.212,17.494,16.922,506377.0,000651
2016-01-13,17.344,16.992,17.485,16.904,456655.0,000651
2016-01-14,16.552,17.212,17.344,16.393,658841.0,000651
2016-01-15,16.939,16.552,17.283,16.376,615356.0,000651
2016-01-18,16.297,16.596,16.772,16.288,382164.0,000651
2016-01-19,16.552,17.309,17.485,16.517,620490.0,000651
2016-01-20,17.256,16.975,17.371,16.737,450475.0,000651
2016-01-21,16.746,16.473,17.08,16.473,368874.0,000651
2016-01-22,16.649,16.807,16.992,16.464,336317.0,000651
2016-01-25,16.939,16.93,17.133,16.772,294238.0,000651
2016-01-26,16.798,16.376,16.869,16.217,448324.0,000651
2016-01-27,16.517,16.27,16.658,15.786,506478.0,000651
2016-01-28,16.129,16.12,16.517,16.032,327468.0,000651
2016-01-29,16.2,16.49,16.64,16.076,414142.0,000651
2016-02-01,16.517,16.235,16.561,16.112,284243.0,000651
2016-02-02,16.279,16.693,16.798,16.279,399428.0,000651
2016-02-03,16.578,16.587,16.702,16.429,283180.0,000651
2016-02-04,16.693,16.728,16.983,16.605,398269.0,000651
2016-02-05,16.719,16.596,16.807,16.587,226996.0,000651
2016-02-15,16.244,16.411,16.578,16.173,256903.0,000651
2016-02-16,16.64,16.79,16.895,16.552,469528.0,000651
2016-02-17,16.807,16.904,17.001,16.746,391569.0,000651
2016-02-18,17.001,16.922,17.063,16.816,460056.0,000651
2016-02-19,16.895,16.922,16.975,16.816,318912.0,000651
2016-09-02,18.611,18.611,18.611,18.611,36608.0,000651
2016-09-05,20.473,20.473,20.473,20.473,22323.0,000651
2016-09-06,22.517,21.963,22.517,21.667,4971955.0,000651
2016-09-07,21.867,21.829,22.392,21.552,2087907.0,000651
2016-09-08,21.867,21.466,22.02,21.208,1523132.0,000651
2016-09-09,21.399,21.256,21.619,21.161,1131333.0,000651
2016-09-12,21.008,21.075,21.523,20.865,1166370.0,000651
2016-09-13,21.142,20.989,21.323,20.893,886442.0,000651
2016-09-14,20.912,20.464,20.97,20.435,1121997.0,000651
2016-09-19,20.454,21.094,21.227,20.444,1213874.0,000651
2016-09-20,21.103,21.027,21.352,20.941,683515.0,000651
2016-09-21,21.065,21.008,21.103,20.779,554766.0,000651
2016-09-22,21.122,20.769,21.151,20.769,832998.0,000651
2016-09-23,20.807,20.473,20.874,20.425,649530.0,000651
2016-09-26,20.454,20.54,20.903,20.435,599040.0,000651
2016-09-27,20.578,21.036,21.103,20.549,981047.0,000651
2016-09-28,21.036,20.912,21.094,20.817,591536.0,000651
2016-09-29,20.931,20.855,21.075,20.846,533095.0,000651
2016-09-30,20.865,21.218,21.285,20.826,633264.0,000651
2016-10-10,21.256,21.113,21.313,20.712,742317.0,000651
2016-10-11,21.084,21.113,21.218,20.922,444858.0,000651
2016-10-12,21.094,21.199,21.447,20.97,489002.0,000651
2016-10-13,21.227,21.075,21.304,20.97,363226.0,000651
2016-10-14,21.008,20.951,21.084,20.884,361612.0,000651
2016-10-17,20.979,20.76,21.046,20.721,372900.0,000651
2016-10-18,20.721,20.893,20.903,20.702,393069.0,000651
2016-10-19,20.903,20.798,21.056,20.76,415404.0,000651
2016-10-20,20.798,20.836,20.893,20.75,333059.0,000651
